batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
2,0,16,16,3,228,32,128,0.0693,nan,nan,0.0223,3.1098,nan,nan,1676.0373,581.9574
2,0,16,24,3,341,32,128,0.1065,nan,nan,0.0295,3.6135,nan,nan,1895.6786,658.2217
2,0,16,32,3,449,32,128,0.2068,nan,nan,0.0379,5.4595,nan,nan,1941.6215,674.1741
2,0,16,36,3,497,32,128,0.2181,nan,nan,0.0401,5.4419,nan,nan,2031.6487,705.4336
2,0,24,6,2,134,32,128,0.0451,nan,nan,0.0144,3.1289,nan,nan,1219.6978,423.5062
2,0,24,10,2,213,32,128,0.0626,nan,nan,0.0233,2.6833,nan,nan,1195.9534,415.2616
2,0,24,16,3,339,32,128,0.1053,nan,nan,0.0276,3.8096,nan,nan,2008.8889,697.5309
2,0,24,24,3,500,32,128,0.2226,nan,nan,0.0399,5.5741,nan,nan,2051.2821,712.2507
2,0,24,32,3,666,32,128,0.4045,nan,nan,0.0768,5.2678,nan,nan,1421.096,493.4361
2,0,24,36,3,753,32,128,0.523,nan,nan,0.1516,3.4512,nan,nan,814.054,282.6576
2,0,32,6,2,177,32,128,0.0543,nan,nan,0.0161,3.3651,nan,nan,1438.4762,499.4709
2,0,32,10,2,277,32,128,0.086,nan,nan,0.0285,3.0163,nan,nan,1273.3917,442.1499
2,0,32,16,2,439,32,128,0.1935,nan,nan,0.0326,5.9289,nan,nan,1762.8863,612.1133
2,0,32,24,3,667,32,128,0.4016,nan,nan,0.081,4.955,nan,nan,1348.4857,468.2242
2,0,32,32,3,878,32,128,0.7715,nan,nan,0.1812,4.2564,nan,nan,793.6723,275.5807
2,0,32,36,3,1000,32,128,1.0404,nan,nan,0.2058,5.0547,nan,nan,796.0199,276.3958
2,0,36,6,2,205,32,128,0.0623,nan,nan,0.0195,3.1998,nan,nan,1381.0527,479.5322
2,0,36,10,2,333,32,128,0.1031,nan,nan,0.0266,3.8726,nan,nan,1639.3846,569.2308
2,0,36,16,2,504,32,128,0.2191,nan,nan,0.0369,5.9444,nan,nan,1791.9999,622.2222
2,0,36,24,3,760,32,128,0.5233,nan,nan,0.1556,3.3618,nan,nan,800.0,277.7778
2,0,36,32,3,1008,32,128,1.0394,nan,nan,0.2068,5.0248,nan,nan,798.4159,277.2277
2,0,36,36,3,1129,32,128,1.2851,nan,nan,0.2364,5.4353,nan,nan,782.3618,271.6534
4,0,6,6,3,31,32,128,0.0133,nan,nan,0.0093,1.4345,nan,nan,1094.6207,380.0766
4,0,6,10,3,52,32,128,0.0154,nan,nan,0.0154,1.001,nan,nan,1109.3334,385.1852
4,0,6,16,3,82,32,128,0.0327,nan,nan,0.0184,1.7726,nan,nan,1457.7777,506.1728
4,0,6,24,4,124,32,128,0.043,nan,nan,0.0256,1.68,nan,nan,1904.64,661.3334
4,0,6,32,4,165,32,128,0.084,nan,nan,0.0345,2.4319,nan,nan,1879.0733,652.456
4,0,6,36,4,186,32,128,0.0883,nan,nan,0.0361,2.444,nan,nan,2025.3151,703.2344
4,0,10,6,2,56,32,128,0.0163,nan,nan,0.0137,1.1897,nan,nan,1074.3606,373.0419
4,0,10,10,3,87,32,128,0.0328,nan,nan,0.0174,1.8824,nan,nan,1637.647,568.6274
4,0,10,16,3,137,32,128,0.0737,nan,nan,0.0274,2.6932,nan,nan,1639.8364,569.3876
4,0,10,24,3,206,32,128,0.0993,nan,nan,0.0358,2.7714,nan,nan,1883.4285,653.9682
4,0,10,32,3,274,32,128,0.1679,nan,nan,0.044,3.814,nan,nan,2039.0698,708.0103
4,0,10,36,4,310,32,128,0.1843,nan,nan,0.0512,3.6,nan,nan,2380.8001,826.6667
4,0,16,6,2,82,32,128,0.0318,nan,nan,0.0155,2.059,nan,nan,1390.7743,482.9077
4,0,16,10,2,144,32,128,0.0745,nan,nan,0.0254,2.9296,nan,nan,1483.834,515.2201
4,0,16,16,3,228,32,128,0.1096,nan,nan,0.0389,2.8158,nan,nan,1920.0001,666.6667
4,0,16,24,3,341,32,128,0.2345,nan,nan,0.1137,2.0631,nan,nan,983.0631,341.3413
4,0,16,32,3,449,32,128,0.4275,nan,nan,0.1835,2.3302,nan,nan,801.9116,278.4415
4,0,16,36,3,497,32,128,0.4712,nan,nan,0.204,2.31,nan,nan,798.3184,277.1939
4,0,24,6,2,134,32,128,0.0727,nan,nan,0.0246,2.9583,nan,nan,1429.3333,496.2963
4,0,24,10,2,213,32,128,0.0993,nan,nan,0.0418,2.3749,nan,nan,1335.039,463.5552
4,0,24,16,3,339,32,128,0.234,nan,nan,0.1096,2.136,nan,nan,1013.8318,352.0249
4,0,24,24,3,500,32,128,0.4782,nan,nan,0.2058,2.3234,nan,nan,796.0199,276.3958
4,0,24,32,3,666,32,128,0.8059,nan,nan,0.2744,2.9371,nan,nan,795.363,276.1677
4,0,24,36,3,753,32,128,1.0193,nan,nan,0.3154,3.2317,nan,nan,782.3377,271.645
4,0,32,6,2,177,32,128,0.085,nan,nan,0.0276,3.0741,nan,nan,1678.2222,582.716
4,0,32,10,2,277,32,128,0.1669,nan,nan,0.0494,3.3761,nan,nan,1468.7275,509.9748
4,0,32,16,2,439,32,128,0.4118,nan,nan,0.1796,2.2937,nan,nan,640.9353,222.547
4,0,32,24,3,667,32,128,0.8039,nan,nan,0.2765,2.9075,nan,nan,790.5185,274.4856
4,0,32,32,3,878,32,128,1.4897,nan,nan,0.3656,4.0751,nan,nan,787.0028,273.2649
4,0,32,36,3,1000,32,128,1.9169,nan,nan,0.4168,4.5995,nan,nan,786.2408,273.0003
4,0,36,6,2,205,32,128,0.0985,nan,nan,0.0328,2.9995,nan,nan,1636.0058,568.0576
4,0,36,10,2,333,32,128,0.2137,nan,nan,0.0901,2.3715,nan,nan,968.8993,336.4234
4,0,36,16,2,504,32,128,0.4764,nan,nan,0.2066,2.3062,nan,nan,639.5242,222.057
4,0,36,24,3,760,32,128,1.0264,nan,nan,0.3133,3.2756,nan,nan,794.7712,275.9622
4,0,36,32,3,1008,32,128,1.9374,nan,nan,0.4203,4.6092,nan,nan,785.8033,272.8484
4,0,36,36,3,1129,32,128,2.5263,nan,nan,0.476,5.3076,nan,nan,777.2335,269.8727
8,0,6,6,3,31,32,128,0.0195,nan,nan,0.0154,1.2667,nan,nan,1322.6667,459.2593
8,0,6,10,3,52,32,128,0.0236,nan,nan,0.0225,1.0455,nan,nan,1512.7273,525.2525
8,0,6,16,3,82,32,128,0.0502,nan,nan,0.0317,1.5806,nan,nan,1692.9032,587.8136
8,0,6,24,4,124,32,128,0.0666,nan,nan,0.0451,1.4762,nan,nan,2162.8275,750.9818
8,0,6,32,4,165,32,128,0.1717,nan,nan,0.084,2.0444,nan,nan,1544.7772,536.381
8,0,6,36,4,186,32,128,0.2089,nan,nan,0.1414,1.4778,nan,nan,1034.7789,359.2982
8,0,10,6,2,56,32,128,0.0236,nan,nan,0.0203,1.1635,nan,nan,1449.4534,503.2824
8,0,10,10,3,87,32,128,0.0501,nan,nan,0.0293,1.7072,nan,nan,1943.0316,674.6638
8,0,10,16,3,137,32,128,0.135,nan,nan,0.0463,2.9144,nan,nan,1937.6796,672.8054
8,0,10,24,3,206,32,128,0.2376,nan,nan,0.1659,1.4321,nan,nan,813.8272,282.5789
8,0,10,32,3,274,32,128,0.3584,nan,nan,0.2253,1.5908,nan,nan,797.0343,276.748
8,0,10,36,4,310,32,128,0.4116,nan,nan,0.2611,1.5765,nan,nan,933.6471,324.183
8,0,16,6,2,82,32,128,0.0494,nan,nan,0.0266,1.8558,nan,nan,1614.7692,560.6838
8,0,16,10,2,144,32,128,0.1358,nan,nan,0.0428,3.1758,nan,nan,1765.2794,612.9442
8,0,16,16,3,228,32,128,0.2624,nan,nan,0.1905,1.3779,nan,nan,784.5161,272.4014
8,0,16,24,3,341,32,128,0.4557,nan,nan,0.2816,1.6183,nan,nan,793.6902,275.5869
8,0,16,32,3,449,32,128,0.7685,nan,nan,0.3902,1.9696,nan,nan,754.102,261.841
8,0,16,36,3,497,32,128,0.8406,nan,nan,0.4362,1.927,nan,nan,746.6666,259.2593
8,0,24,6,2,134,32,128,0.1308,nan,nan,0.042,3.117,nan,nan,1674.0038,581.2513
8,0,24,10,2,213,32,128,0.239,nan,nan,0.179,1.3353,nan,nan,624.0129,216.6711
8,0,24,16,3,339,32,128,0.4577,nan,nan,0.2806,1.6314,nan,nan,791.8248,274.9392
8,0,24,24,3,500,32,128,0.8467,nan,nan,0.4168,2.0316,nan,nan,786.2408,273.0003
8,0,24,32,3,666,32,128,1.5904,nan,nan,0.5632,2.8239,nan,nan,774.9818,269.0909
8,0,24,36,3,753,32,128,2.0142,nan,nan,0.6523,3.0879,nan,nan,756.5463,262.6897
8,0,32,6,2,177,32,128,0.1935,nan,nan,0.1273,1.5198,nan,nan,728.7267,253.0301
8,0,32,10,2,277,32,128,0.3611,nan,nan,0.2319,1.557,nan,nan,626.1977,217.4298
8,0,32,16,2,439,32,128,0.7357,nan,nan,0.3602,2.0424,nan,nan,638.9425,221.855
8,0,32,24,3,667,32,128,1.5892,nan,nan,0.5651,2.8125,nan,nan,773.5742,268.6022
8,0,32,32,3,878,32,128,2.8636,nan,nan,0.7353,3.8943,nan,nan,782.5162,271.707
8,0,32,36,3,1000,32,128,3.74,nan,nan,0.8378,4.4639,nan,nan,782.2019,271.5979
8,0,36,6,2,205,32,128,0.2314,nan,nan,0.169,1.3695,nan,nan,636.1212,220.8754
8,0,36,10,2,333,32,128,0.4547,nan,nan,0.2734,1.663,nan,nan,638.5992,221.7358
8,0,36,16,2,504,32,128,0.8462,nan,nan,0.4136,2.0458,nan,nan,638.8562,221.8251
8,0,36,24,3,760,32,128,2.0193,nan,nan,0.6308,3.2013,nan,nan,789.6104,274.1703
8,0,36,32,3,1008,32,128,3.8221,nan,nan,0.8346,4.5798,nan,nan,791.5583,274.8466
8,0,36,36,3,1129,32,128,4.9085,nan,nan,0.9533,5.1487,nan,nan,776.1117,269.4832
1,1024,6,6,3,31,32,128,0.042,0.0293,nan,0.0366,1.1464,0.8008,nan,69.3403,24.0765
1,1024,6,10,3,52,32,128,0.0458,0.0317,nan,0.0389,1.1768,0.8158,nan,109.4737,38.0117
1,1024,6,16,3,82,32,128,0.0805,0.053,nan,0.055,1.4646,0.9633,nan,122.153,42.4142
1,1024,6,24,4,124,32,128,0.0911,0.0604,nan,0.0614,1.4841,0.9838,nan,198.5034,68.9248
1,1024,6,32,4,165,32,128,0.1802,0.1176,nan,0.1106,1.6296,1.0629,nan,146.6667,50.9259
1,1024,6,36,4,186,32,128,0.1833,0.1178,nan,0.1113,1.6474,1.0584,nan,164.3348,57.0607
1,1024,10,6,2,56,32,128,0.0471,0.0317,nan,0.0379,1.242,0.8378,nan,96.8649,33.6336
1,1024,10,10,3,87,32,128,0.0822,0.053,nan,0.0543,1.515,0.9758,nan,131.3208,45.5975
1,1024,10,16,3,137,32,128,0.1761,0.1113,nan,0.1064,1.6558,1.0468,nan,105.5114,36.6359
1,1024,10,24,3,206,32,128,0.1874,0.1216,nan,0.1147,1.6338,1.0603,nan,147.1429,51.0913
1,1024,10,32,3,274,32,128,0.2007,0.1359,nan,0.1249,1.6066,1.088,nan,179.6721,62.3862
1,1024,10,36,4,310,32,128,0.2055,0.1413,nan,0.1288,1.595,1.0969,nan,236.5425,82.1328
1,1024,16,6,2,82,32,128,0.0799,0.0522,nan,0.0532,1.5014,0.9817,nan,101.0141,35.0744
1,1024,16,10,2,144,32,128,0.1724,0.1126,nan,0.1073,1.6074,1.0501,nan,87.9809,30.5489
1,1024,16,16,3,228,32,128,0.1894,0.1249,nan,0.1167,1.6228,1.0702,nan,160.0,55.5556
1,1024,16,24,3,341,32,128,0.2024,0.1471,nan,0.1311,1.5444,1.1223,nan,213.125,74.0017
1,1024,16,32,3,449,32,128,0.4915,0.2732,nan,0.2038,2.4121,1.3405,nan,180.5025,62.6745
1,1024,16,36,3,497,32,128,0.5026,0.2847,nan,0.215,2.3374,1.3238,nan,189.3333,65.7407
1,1024,24,6,2,134,32,128,0.1782,0.1106,nan,0.1044,1.706,1.0588,nan,84.0784,29.1939
1,1024,24,10,2,213,32,128,0.1833,0.1219,nan,0.1157,1.5843,1.0532,nan,120.6538,41.8937
