batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,0,6,6,3,31,32,128,0.0102,nan,nan,0.0102,1.0,nan,nan,248.0,86.1111
1,0,6,10,3,52,32,128,0.0102,nan,nan,0.0102,1.0,nan,nan,416.0,144.4444
1,0,6,16,3,82,32,128,0.0164,nan,nan,0.0102,1.6,nan,nan,656.0,227.7778
1,0,6,24,4,124,32,128,0.0215,nan,nan,0.0102,2.1,nan,nan,1190.4,413.3333
1,0,6,32,4,165,32,128,0.0306,nan,nan,0.0122,2.5099,nan,nan,1332.1419,462.5493
1,0,6,36,4,186,32,128,0.0316,nan,nan,0.0123,2.569,nan,nan,1487.9999,516.6666
1,0,10,6,2,56,32,128,0.0091,nan,nan,0.0079,1.1431,nan,nan,462.4516,160.5735
1,0,10,10,3,87,32,128,0.0157,nan,nan,0.0102,1.5359,nan,nan,696.0,241.6667
1,0,10,16,3,137,32,128,0.0266,nan,nan,0.0102,2.5969,nan,nan,1096.0,380.5556
1,0,10,24,3,206,32,128,0.0347,nan,nan,0.0143,2.4208,nan,nan,1177.1428,408.7302
1,0,10,32,3,274,32,128,0.044,nan,nan,0.0184,2.3889,nan,nan,1217.7777,422.8395
1,0,10,36,4,310,32,128,0.0512,nan,nan,0.0184,2.7778,nan,nan,1653.3333,574.0741
1,0,16,6,2,82,32,128,0.0164,nan,nan,0.0083,1.973,nan,nan,648.4016,225.1394
1,0,16,10,2,144,32,128,0.0276,nan,nan,0.0102,2.7,nan,nan,921.6,320.0
1,0,16,16,3,228,32,128,0.0389,nan,nan,0.0173,2.2428,nan,nan,1077.8948,374.269
1,0,16,24,3,341,32,128,0.0543,nan,nan,0.0177,3.0725,nan,nan,1581.4492,549.1143
1,0,16,32,3,449,32,128,0.1391,nan,nan,0.0223,6.2292,nan,nan,1646.7621,571.7924
1,0,16,36,3,497,32,128,0.1444,nan,nan,0.0225,6.4098,nan,nan,1807.2727,627.5252
1,0,24,6,2,134,32,128,0.0265,nan,nan,0.0092,2.8785,nan,nan,952.8889,330.8642
1,0,24,10,2,213,32,128,0.0348,nan,nan,0.0133,2.6154,nan,nan,1048.6154,364.1026
1,0,24,16,3,339,32,128,0.0532,nan,nan,0.0163,3.2627,nan,nan,1701.6471,590.8497
1,0,24,24,3,500,32,128,0.1439,nan,nan,0.0222,6.4784,nan,nan,1844.3804,640.4099
1,0,24,32,3,666,32,128,0.2007,nan,nan,0.0279,7.2051,nan,nan,1958.5985,680.0689
1,0,24,36,3,753,32,128,0.2496,nan,nan,0.0298,8.3641,nan,nan,2067.2172,717.7837
1,0,32,6,2,177,32,128,0.0307,nan,nan,0.0101,3.0476,nan,nan,1150.7809,399.5767
1,0,32,10,2,277,32,128,0.044,nan,nan,0.0142,3.0921,nan,nan,1274.8225,442.6467
1,0,32,16,2,439,32,128,0.132,nan,nan,0.0195,6.7829,nan,nan,1478.7369,513.4503
1,0,32,24,3,667,32,128,0.1915,nan,nan,0.0276,6.9259,nan,nan,1976.2963,686.214
1,0,32,32,3,878,32,128,0.4526,nan,nan,0.0338,13.3939,nan,nan,2128.4848,739.0572
1,0,32,36,3,1000,32,128,0.5162,nan,nan,0.0389,13.2664,nan,nan,2105.2633,730.9942
1,0,36,6,2,205,32,128,0.0357,nan,nan,0.014,2.5433,nan,nan,956.3554,332.0678
1,0,36,10,2,333,32,128,0.0532,nan,nan,0.0162,3.2821,nan,nan,1345.136,467.0611
1,0,36,16,2,504,32,128,0.1505,nan,nan,0.0215,7.0,nan,nan,1536.0,533.3333
1,0,36,24,3,760,32,128,0.259,nan,nan,0.0287,9.0329,nan,nan,2171.4285,753.9682
1,0,36,32,3,1008,32,128,0.5154,nan,nan,0.0369,13.9506,nan,nan,2235.1494,776.0935
1,0,36,36,3,1129,32,128,0.6461,nan,nan,0.04,16.1661,nan,nan,2314.0433,803.4873
2,0,6,6,3,31,32,128,0.0092,nan,nan,0.0082,1.125,nan,nan,620.0,215.2778
2,0,6,10,3,52,32,128,0.0102,nan,nan,0.0092,1.1111,nan,nan,924.4444,320.9876
2,0,6,16,3,82,32,128,0.0195,nan,nan,0.0113,1.7273,nan,nan,1192.7273,414.1414
2,0,6,24,4,124,32,128,0.0252,nan,nan,0.0174,1.4476,nan,nan,1400.4706,486.2745
2,0,6,32,4,165,32,128,0.0563,nan,nan,0.0193,2.9139,nan,nan,1678.4106,582.7815
2,0,6,36,4,186,32,128,0.0559,nan,nan,0.0205,2.7305,nan,nan,1785.6,620.0
2,0,10,6,2,56,32,128,0.0103,nan,nan,0.0088,1.1703,nan,nan,831.0724,288.5668
2,0,10,10,3,87,32,128,0.0197,nan,nan,0.0154,1.2813,nan,nan,928.0,322.2222
2,0,10,16,3,137,32,128,0.0471,nan,nan,0.0158,2.9858,nan,nan,1422.7991,494.0275
2,0,10,24,3,206,32,128,0.0623,nan,nan,0.0215,2.8966,nan,nan,1569.5238,544.9735
2,0,10,32,3,274,32,128,0.086,nan,nan,0.0328,2.624,nan,nan,1370.0,475.6944
2,0,10,36,4,310,32,128,0.0942,nan,nan,0.0297,3.1724,nan,nan,2052.4137,712.6437
2,0,16,6,2,82,32,128,0.0196,nan,nan,0.01,1.949,nan,nan,1069.656,371.4083
2,0,16,10,2,144,32,128,0.0471,nan,nan,0.015,3.1453,nan,nan,1260.3077,437.6068
2,0,16,16,3,228,32,128,0.0686,nan,nan,0.0264,2.6035,nan,nan,1417.5592,492.2081
2,0,16,24,3,341,32,128,0.1055,nan,nan,0.0294,3.5904,nan,nan,1901.8736,660.3728
2,0,16,32,3,449,32,128,0.2048,nan,nan,0.0379,5.4054,nan,nan,1941.6215,674.1741
2,0,16,36,3,497,32,128,0.2198,nan,nan,0.041,5.3664,nan,nan,1988.0001,690.2778
2,0,24,6,2,134,32,128,0.0451,nan,nan,0.0143,3.1429,nan,nan,1225.1428,425.3968
2,0,24,10,2,213,32,128,0.0626,nan,nan,0.0198,3.1684,nan,nan,1412.8713,490.5803
2,0,24,16,3,339,32,128,0.1051,nan,nan,0.0276,3.8009,nan,nan,2008.8889,697.5309
2,0,24,24,3,500,32,128,0.2222,nan,nan,0.0399,5.5649,nan,nan,2051.2821,712.2507
2,0,24,32,3,666,32,128,0.4064,nan,nan,0.085,4.7816,nan,nan,1283.8554,445.7831
2,0,24,36,3,753,32,128,0.5263,nan,nan,0.1516,3.473,nan,nan,814.054,282.6576
2,0,32,6,2,177,32,128,0.0561,nan,nan,0.0163,3.447,nan,nan,1424.3458,494.5645
2,0,32,10,2,277,32,128,0.086,nan,nan,0.0222,3.8676,nan,nan,1632.5065,566.8425
2,0,32,16,2,439,32,128,0.1945,nan,nan,0.0327,5.9501,nan,nan,1760.2976,611.2145
2,0,32,24,3,667,32,128,0.4063,nan,nan,0.0889,4.5684,nan,nan,1228.6526,426.6155
2,0,32,32,3,878,32,128,0.7771,nan,nan,0.1809,4.2958,nan,nan,795.2167,276.1169
2,0,32,36,3,1000,32,128,1.0496,nan,nan,0.2055,5.107,nan,nan,797.1974,276.8046
2,0,36,6,2,205,32,128,0.0625,nan,nan,0.0195,3.2105,nan,nan,1381.0527,479.5322
2,0,36,10,2,333,32,128,0.1034,nan,nan,0.0266,3.8846,nan,nan,1639.3846,569.2308
2,0,36,16,2,504,32,128,0.2209,nan,nan,0.037,5.9732,nan,nan,1786.572,620.3375
2,0,36,24,3,760,32,128,0.5274,nan,nan,0.1546,3.4106,nan,nan,805.298,279.6174
2,0,36,32,3,1008,32,128,1.0477,nan,nan,0.2068,5.0651,nan,nan,798.4159,277.2277
2,0,36,36,3,1129,32,128,1.2964,nan,nan,0.2376,5.4569,nan,nan,778.6207,270.3544
4,0,6,6,3,31,32,128,0.0133,nan,nan,0.0092,1.4444,nan,nan,1102.2222,382.716
4,0,6,10,3,52,32,128,0.0154,nan,nan,0.0153,1.001,nan,nan,1110.4901,385.5868
4,0,6,16,3,82,32,128,0.0319,nan,nan,0.0184,1.73,nan,nan,1457.7777,506.1728
4,0,6,24,4,124,32,128,0.043,nan,nan,0.0254,1.6925,nan,nan,1920.242,666.7507
4,0,6,32,4,165,32,128,0.084,nan,nan,0.0338,2.4848,nan,nan,1920.0,666.6667
4,0,6,36,4,186,32,128,0.0881,nan,nan,0.0358,2.4571,nan,nan,2040.6857,708.5714
4,0,10,6,2,56,32,128,0.016,nan,nan,0.0139,1.1481,nan,nan,1053.3915,365.7609
4,0,10,10,3,87,32,128,0.0328,nan,nan,0.0244,1.3421,nan,nan,1167.6016,405.4172
