batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,0,6,6,3,31,32,128,0.0102,nan,nan,0.0102,0.9984,nan,nan,248.0,86.1111
1,0,6,10,3,52,32,128,0.0102,nan,nan,0.0126,0.8122,nan,nan,337.868,117.3153
1,0,6,16,3,82,32,128,0.0172,nan,nan,0.0092,1.8713,nan,nan,730.1565,253.5266
1,0,6,24,4,124,32,128,0.0204,nan,nan,0.0102,1.9906,nan,nan,1190.4,413.3333
1,0,6,32,4,165,32,128,0.0305,nan,nan,0.0121,2.5158,nan,nan,1337.4142,464.3799
1,0,6,36,4,186,32,128,0.0316,nan,nan,0.0123,2.5742,nan,nan,1487.9999,516.6666
1,0,10,6,2,56,32,128,0.0091,nan,nan,0.0082,1.1074,nan,nan,448.0,155.5556
1,0,10,10,3,87,32,128,0.0164,nan,nan,0.0082,2.0,nan,nan,870.0,302.0833
1,0,10,16,3,137,32,128,0.0276,nan,nan,0.0102,2.7042,nan,nan,1097.7152,381.1511
1,0,10,24,3,206,32,128,0.0348,nan,nan,0.0142,2.4449,nan,nan,1185.0786,411.4856
1,0,10,32,3,274,32,128,0.044,nan,nan,0.016,2.7465,nan,nan,1400.0799,486.1389
1,0,10,36,4,310,32,128,0.0481,nan,nan,0.0174,2.7647,nan,nan,1750.5882,607.8431
1,0,16,6,2,82,32,128,0.0154,nan,nan,0.0079,1.9433,nan,nan,679.9029,236.0774
1,0,16,10,2,144,32,128,0.0266,nan,nan,0.0109,2.4327,nan,nan,862.3158,299.4152
1,0,16,16,3,228,32,128,0.0389,nan,nan,0.0145,2.6755,nan,nan,1284.2244,445.9113
1,0,16,24,3,341,32,128,0.0551,nan,nan,0.0172,3.2048,nan,nan,1625.6238,564.4527
1,0,16,32,3,449,32,128,0.1331,nan,nan,0.0215,6.1905,nan,nan,1710.4762,593.9153
1,0,16,36,3,497,32,128,0.1423,nan,nan,0.0225,6.3182,nan,nan,1807.2727,627.5252
1,0,24,6,2,134,32,128,0.0263,nan,nan,0.0092,2.8542,nan,nan,952.8889,330.8642
1,0,24,10,2,213,32,128,0.0348,nan,nan,0.0146,2.3781,nan,nan,953.4951,331.0747
1,0,24,16,3,339,32,128,0.0563,nan,nan,0.0161,3.4886,nan,nan,1720.1982,597.291
1,0,24,24,3,500,32,128,0.1495,nan,nan,0.0219,6.8304,nan,nan,1871.345,649.7726
1,0,24,32,3,666,32,128,0.1935,nan,nan,0.0277,6.9919,nan,nan,1971.052,684.3931
1,0,24,36,3,753,32,128,0.2486,nan,nan,0.0297,8.3707,nan,nan,2077.2413,721.2643
1,0,32,6,2,177,32,128,0.0307,nan,nan,0.0102,3.0141,nan,nan,1138.135,395.1858
1,0,32,10,2,277,32,128,0.044,nan,nan,0.0143,3.0714,nan,nan,1266.2857,439.6825
1,0,32,16,2,439,32,128,0.1311,nan,nan,0.0201,6.5275,nan,nan,1432.7841,497.4945
1,0,32,24,3,667,32,128,0.1956,nan,nan,0.0276,7.0741,nan,nan,1976.2963,686.214
1,0,32,32,3,878,32,128,0.433,nan,nan,0.0338,12.813,nan,nan,2128.4848,739.0572
1,0,32,36,3,1000,32,128,0.5171,nan,nan,0.0379,13.6486,nan,nan,2162.1621,750.7507
1,0,36,6,2,205,32,128,0.0362,nan,nan,0.0133,2.7208,nan,nan,1010.4453,350.8491
1,0,36,10,2,333,32,128,0.0543,nan,nan,0.017,3.185,nan,nan,1280.7212,444.6949
1,0,36,16,2,504,32,128,0.1483,nan,nan,0.0205,7.2414,nan,nan,1612.8,560.0
1,0,36,24,3,760,32,128,0.2557,nan,nan,0.0287,8.9185,nan,nan,2171.4285,753.9682
1,0,36,32,3,1008,32,128,0.513,nan,nan,0.0373,13.7496,nan,nan,2213.1047,768.4391
1,0,36,36,3,1129,32,128,0.6482,nan,nan,0.048,13.513,nan,nan,1928.1121,669.4834
2,0,6,6,3,31,32,128,0.0092,nan,nan,0.0082,1.125,nan,nan,620.0,215.2778
2,0,6,10,3,52,32,128,0.0102,nan,nan,0.0092,1.1111,nan,nan,924.4444,320.9876
2,0,6,16,3,82,32,128,0.0201,nan,nan,0.0113,1.7855,nan,nan,1192.7273,414.1414
2,0,6,24,4,124,32,128,0.0253,nan,nan,0.0174,1.454,nan,nan,1400.4706,486.2745
2,0,6,32,4,165,32,128,0.0563,nan,nan,0.0193,2.9203,nan,nan,1683.9868,584.7176
2,0,6,36,4,186,32,128,0.0553,nan,nan,0.0205,2.7,nan,nan,1785.6,620.0
2,0,10,6,2,56,32,128,0.0102,nan,nan,0.0089,1.1511,nan,nan,825.0935,286.4908
2,0,10,10,3,87,32,128,0.0203,nan,nan,0.0111,1.8283,nan,nan,1285.5412,446.3685
2,0,10,16,3,137,32,128,0.0471,nan,nan,0.0162,2.912,nan,nan,1387.6162,481.8112
2,0,10,24,3,206,32,128,0.0624,nan,nan,0.0215,2.8996,nan,nan,1569.5238,544.9735
2,0,10,32,3,274,32,128,0.086,nan,nan,0.0246,3.5,nan,nan,1826.6666,634.2592
2,0,10,36,4,310,32,128,0.0943,nan,nan,0.0297,3.1756,nan,nan,2052.4137,712.6437
2,0,16,6,2,82,32,128,0.0196,nan,nan,0.0101,1.9397,nan,nan,1066.2603,370.2293
2,0,16,10,2,144,32,128,0.0471,nan,nan,0.0172,2.7463,nan,nan,1100.4179,382.0895
2,0,16,16,3,228,32,128,0.0686,nan,nan,0.0224,3.0694,nan,nan,1671.2384,580.2911
2,0,16,24,3,341,32,128,0.1055,nan,nan,0.0297,3.5536,nan,nan,1882.3935,653.6089
2,0,16,32,3,449,32,128,0.2048,nan,nan,0.0379,5.4054,nan,nan,1941.6215,674.1741
2,0,16,36,3,497,32,128,0.2202,nan,nan,0.041,5.375,nan,nan,1988.0001,690.2778
2,0,24,6,2,134,32,128,0.0451,nan,nan,0.0144,3.1394,nan,nan,1223.777,424.9226
2,0,24,10,2,213,32,128,0.0631,nan,nan,0.0233,2.7058,nan,nan,1196.7736,415.5464
2,0,24,16,3,339,32,128,0.1054,nan,nan,0.0276,3.8119,nan,nan,2008.8889,697.5309
2,0,24,24,3,500,32,128,0.2221,nan,nan,0.0399,5.5613,nan,nan,2051.2821,712.2507
2,0,24,32,3,666,32,128,0.4075,nan,nan,0.0851,4.7886,nan,nan,1282.4069,445.2802
2,0,24,36,3,753,32,128,0.5243,nan,nan,0.1516,3.4594,nan,nan,814.054,282.6576
2,0,32,6,2,177,32,128,0.0584,nan,nan,0.0162,3.5966,nan,nan,1429.9644,496.5154
2,0,32,10,2,277,32,128,0.086,nan,nan,0.0225,3.8182,nan,nan,1611.6364,559.596
2,0,32,16,2,439,32,128,0.1936,nan,nan,0.0328,5.9092,nan,nan,1756.0,609.7222
2,0,32,24,3,667,32,128,0.4065,nan,nan,0.0887,4.5855,nan,nan,1232.6439,428.0014
2,0,32,32,3,878,32,128,0.7782,nan,nan,0.1812,4.2938,nan,nan,793.6723,275.5807
2,0,32,36,3,1000,32,128,1.0465,nan,nan,0.2057,5.0885,nan,nan,796.6392,276.6108
2,0,36,6,2,205,32,128,0.0617,nan,nan,0.0195,3.1719,nan,nan,1381.0527,479.5322
2,0,36,10,2,333,32,128,0.1034,nan,nan,0.0307,3.3667,nan,nan,1420.8,493.3333
2,0,36,16,2,504,32,128,0.2211,nan,nan,0.037,5.9818,nan,nan,1787.3455,620.6061
2,0,36,24,3,760,32,128,0.5284,nan,nan,0.1547,3.4151,nan,nan,804.7983,279.4439
2,0,36,32,3,1008,32,128,1.0464,nan,nan,0.2071,5.0531,nan,nan,797.5522,276.9278
2,0,36,36,3,1129,32,128,1.2928,nan,nan,0.2447,5.2826,nan,nan,755.8159,262.4361
4,0,6,6,3,31,32,128,0.0133,nan,nan,0.0092,1.4444,nan,nan,1102.2222,382.716
4,0,6,10,3,52,32,128,0.0154,nan,nan,0.0154,1.0,nan,nan,1109.3334,385.1852
4,0,6,16,3,82,32,128,0.0325,nan,nan,0.0184,1.7639,nan,nan,1457.7777,506.1728
4,0,6,24,4,124,32,128,0.0429,nan,nan,0.0255,1.6838,nan,nan,1911.8092,663.8227
4,0,6,32,4,165,32,128,0.084,nan,nan,0.0339,2.4802,nan,nan,1916.3705,665.4064
4,0,6,36,4,186,32,128,0.0881,nan,nan,0.0359,2.456,nan,nan,2039.775,708.2552
4,0,10,6,2,56,32,128,0.0162,nan,nan,0.0135,1.1976,nan,nan,1085.8035,377.0151
4,0,10,10,3,87,32,128,0.0326,nan,nan,0.0173,1.8853,nan,nan,1648.2517,572.3096
4,0,10,16,3,137,32,128,0.0737,nan,nan,0.0274,2.6916,nan,nan,1638.8785,569.055
4,0,10,24,3,206,32,128,0.0993,nan,nan,0.0358,2.7751,nan,nan,1885.9544,654.8453
4,0,10,32,3,274,32,128,0.1679,nan,nan,0.044,3.814,nan,nan,2039.0698,708.0103
4,0,10,36,4,310,32,128,0.1901,nan,nan,0.0532,3.5709,nan,nan,2289.2308,794.8718
4,0,16,6,2,82,32,128,0.0326,nan,nan,0.0161,2.0228,nan,nan,1334.149,463.2462
4,0,16,10,2,144,32,128,0.0748,nan,nan,0.0305,2.4538,nan,nan,1239.1261,430.2521
4,0,16,16,3,228,32,128,0.1105,nan,nan,0.0389,2.84,nan,nan,1920.0001,666.6667
4,0,16,24,3,341,32,128,0.2284,nan,nan,0.1115,2.0485,nan,nan,1002.2503,348.0036
4,0,16,32,3,449,32,128,0.4299,nan,nan,0.1852,2.3213,nan,nan,794.498,275.8674
4,0,16,36,3,497,32,128,0.473,nan,nan,0.2038,2.321,nan,nan,799.196,277.4986
4,0,24,6,2,134,32,128,0.0727,nan,nan,0.0246,2.9583,nan,nan,1429.3333,496.2963
4,0,24,10,2,213,32,128,0.0998,nan,nan,0.0418,2.386,nan,nan,1335.039,463.5552
4,0,24,16,3,339,32,128,0.2263,nan,nan,0.1069,2.1174,nan,nan,1039.3294,360.8783
4,0,24,24,3,500,32,128,0.48,nan,nan,0.2048,2.3437,nan,nan,800.0,277.7778
4,0,24,32,3,666,32,128,0.8078,nan,nan,0.2744,2.9436,nan,nan,795.2239,276.1194
4,0,24,36,3,753,32,128,1.0197,nan,nan,0.3164,3.2227,nan,nan,779.8058,270.7659
4,0,32,6,2,177,32,128,0.085,nan,nan,0.0276,3.0776,nan,nan,1680.1669,583.3913
4,0,32,10,2,277,32,128,0.1679,nan,nan,0.0398,4.2186,nan,nan,1824.1028,633.369
4,0,32,16,2,439,32,128,0.4142,nan,nan,0.1797,2.3048,nan,nan,640.4217,222.3686
4,0,32,24,3,667,32,128,0.8135,nan,nan,0.2744,2.9641,nan,nan,796.4179,276.534
4,0,32,32,3,878,32,128,1.5002,nan,nan,0.3686,4.0694,nan,nan,780.4444,270.9877
4,0,32,36,3,1000,32,128,1.9277,nan,nan,0.4197,4.5932,nan,nan,780.7556,271.0957
4,0,36,6,2,205,32,128,0.0993,nan,nan,0.0318,3.1227,nan,nan,1689.497,586.6309
4,0,36,10,2,333,32,128,0.2173,nan,nan,0.0993,2.1881,nan,nan,878.8454,305.1547
4,0,36,16,2,504,32,128,0.4802,nan,nan,0.2067,2.3228,nan,nan,639.1282,221.9195
4,0,36,24,3,760,32,128,1.0322,nan,nan,0.3115,3.3137,nan,nan,799.5069,277.6066
4,0,36,32,3,1008,32,128,1.9456,nan,nan,0.4134,4.7064,nan,nan,799.003,277.4316
4,0,36,36,3,1129,32,128,2.5252,nan,nan,0.4823,5.2357,nan,nan,767.0488,266.3364
