batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,0,6,6,3,31,32,128,0.0101,nan,nan,0.0082,1.2324,nan,nan,310.0,107.6389
1,0,6,10,3,52,32,128,0.0084,nan,nan,0.0082,1.0273,nan,nan,520.0,180.5556
1,0,6,16,3,82,32,128,0.0154,nan,nan,0.0091,1.6872,nan,nan,737.8559,256.2
1,0,6,24,4,124,32,128,0.0203,nan,nan,0.0103,1.9813,nan,nan,1188.5429,412.6885
1,0,6,32,4,165,32,128,0.0306,nan,nan,0.0121,2.5325,nan,nan,1342.7285,466.2252
1,0,6,36,4,186,32,128,0.0316,nan,nan,0.0123,2.5716,nan,nan,1487.9999,516.6666
1,0,10,6,2,56,32,128,0.0091,nan,nan,0.0084,1.0817,nan,nan,436.0761,151.4153
1,0,10,10,3,87,32,128,0.0164,nan,nan,0.0082,1.9961,nan,nan,870.0,302.0833
1,0,10,16,3,137,32,128,0.0266,nan,nan,0.0102,2.6,nan,nan,1096.0,380.5556
1,0,10,24,3,206,32,128,0.0346,nan,nan,0.0143,2.4107,nan,nan,1177.1428,408.7302
1,0,10,32,3,274,32,128,0.044,nan,nan,0.0154,2.8667,nan,nan,1461.3334,507.4074
1,0,10,36,4,310,32,128,0.0484,nan,nan,0.0174,2.7785,nan,nan,1750.5882,607.8431
1,0,16,6,2,82,32,128,0.0154,nan,nan,0.0082,1.875,nan,nan,656.0,227.7778
1,0,16,10,2,144,32,128,0.0276,nan,nan,0.0092,3.0,nan,nan,1024.0,355.5555
1,0,16,16,3,228,32,128,0.0379,nan,nan,0.0143,2.6429,nan,nan,1302.8571,452.3809
1,0,16,24,3,341,32,128,0.0532,nan,nan,0.0167,3.1816,nan,nan,1669.1395,579.5623
1,0,16,32,3,449,32,128,0.1331,nan,nan,0.0216,6.1767,nan,nan,1706.6667,592.5926
1,0,16,36,3,497,32,128,0.1423,nan,nan,0.0225,6.3182,nan,nan,1807.2727,627.5252
1,0,24,6,2,134,32,128,0.0276,nan,nan,0.0092,3.0,nan,nan,952.8889,330.8642
1,0,24,10,2,213,32,128,0.0358,nan,nan,0.0133,2.6923,nan,nan,1048.6154,364.1026
1,0,24,16,3,339,32,128,0.0543,nan,nan,0.0164,3.3125,nan,nan,1695.0,588.5417
1,0,24,24,3,500,32,128,0.1444,nan,nan,0.0223,6.4735,nan,nan,1836.4419,637.6534
1,0,24,32,3,666,32,128,0.1935,nan,nan,0.0279,6.9437,nan,nan,1957.4742,679.6785
1,0,24,36,3,753,32,128,0.247,nan,nan,0.0302,8.1797,nan,nan,2043.1161,709.4153
1,0,32,6,2,177,32,128,0.0325,nan,nan,0.0105,3.1038,nan,nan,1106.858,384.3257
1,0,32,10,2,277,32,128,0.0459,nan,nan,0.0143,3.1987,nan,nan,1266.2857,439.6825
1,0,32,16,2,439,32,128,0.128,nan,nan,0.0195,6.5789,nan,nan,1478.7369,513.4503
1,0,32,24,3,667,32,128,0.1915,nan,nan,0.0276,6.9259,nan,nan,1976.2963,686.214
1,0,32,32,3,878,32,128,0.4339,nan,nan,0.0338,12.8404,nan,nan,2128.4848,739.0572
1,0,32,36,3,1000,32,128,0.5386,nan,nan,0.0379,14.2162,nan,nan,2162.1621,750.7507
1,0,36,6,2,205,32,128,0.0348,nan,nan,0.0132,2.6403,nan,nan,1020.2673,354.2595
1,0,36,10,2,333,32,128,0.0552,nan,nan,0.0154,3.5938,nan,nan,1420.8,493.3333
1,0,36,16,2,504,32,128,0.1454,nan,nan,0.0205,7.1,nan,nan,1612.8,560.0
1,0,36,24,3,760,32,128,0.2499,nan,nan,0.0287,8.7143,nan,nan,2171.4285,753.9682
1,0,36,32,3,1008,32,128,0.5138,nan,nan,0.0371,13.8525,nan,nan,2226.4711,773.0803
1,0,36,36,3,1129,32,128,0.6461,nan,nan,0.0406,15.8988,nan,nan,2275.7795,790.2012
2,0,6,6,3,31,32,128,0.0092,nan,nan,0.0082,1.125,nan,nan,620.0,215.2778
2,0,6,10,3,52,32,128,0.0102,nan,nan,0.0092,1.1073,nan,nan,921.2457,319.877
2,0,6,16,3,82,32,128,0.0201,nan,nan,0.0113,1.7841,nan,nan,1192.7273,414.1414
2,0,6,24,4,124,32,128,0.0252,nan,nan,0.0174,1.4504,nan,nan,1400.4706,486.2745
2,0,6,32,4,165,32,128,0.0563,nan,nan,0.0194,2.8995,nan,nan,1670.1153,579.9011
2,0,6,36,4,186,32,128,0.0553,nan,nan,0.0205,2.7016,nan,nan,1785.6,620.0
2,0,10,6,2,56,32,128,0.0102,nan,nan,0.0089,1.1532,nan,nan,826.5802,287.007
2,0,10,10,3,87,32,128,0.0196,nan,nan,0.0111,1.7648,nan,nan,1285.5412,446.3685
2,0,10,16,3,137,32,128,0.0471,nan,nan,0.016,2.9469,nan,nan,1404.2842,487.5987
2,0,10,24,3,206,32,128,0.0622,nan,nan,0.0215,2.8936,nan,nan,1569.5238,544.9735
2,0,10,32,3,274,32,128,0.0859,nan,nan,0.0246,3.4948,nan,nan,1826.6666,634.2592
2,0,10,36,4,310,32,128,0.0942,nan,nan,0.0297,3.1724,nan,nan,2052.4137,712.6437
2,0,16,6,2,82,32,128,0.0197,nan,nan,0.0102,1.9386,nan,nan,1057.8646,367.3141
2,0,16,10,2,144,32,128,0.0471,nan,nan,0.015,3.1353,nan,nan,1256.2812,436.2087
2,0,16,16,3,228,32,128,0.0686,nan,nan,0.022,3.1208,nan,nan,1699.214,590.0049
2,0,16,24,3,341,32,128,0.1055,nan,nan,0.0297,3.5539,nan,nan,1881.3793,653.2567
2,0,16,32,3,449,32,128,0.2058,nan,nan,0.0379,5.4324,nan,nan,1941.6215,674.1741
2,0,16,36,3,497,32,128,0.2202,nan,nan,0.0409,5.3792,nan,nan,1989.5544,690.8175
2,0,24,6,2,134,32,128,0.0451,nan,nan,0.0143,3.1429,nan,nan,1225.1428,425.3968
2,0,24,10,2,213,32,128,0.0631,nan,nan,0.0195,3.2434,nan,nan,1434.9474,498.2456
2,0,24,16,3,339,32,128,0.1046,nan,nan,0.0276,3.7841,nan,nan,2008.8889,697.5309
2,0,24,24,3,500,32,128,0.2221,nan,nan,0.0399,5.5613,nan,nan,2051.2821,712.2507
2,0,24,32,3,666,32,128,0.4064,nan,nan,0.085,4.7818,nan,nan,1283.8554,445.7831
2,0,24,36,3,753,32,128,0.5222,nan,nan,0.1516,3.4441,nan,nan,813.6246,282.5085
2,0,32,6,2,177,32,128,0.0567,nan,nan,0.0174,3.2592,nan,nan,1332.7059,462.7451
2,0,32,10,2,277,32,128,0.086,nan,nan,0.0223,3.8621,nan,nan,1630.1609,566.0281
2,0,32,16,2,439,32,128,0.1946,nan,nan,0.0328,5.9375,nan,nan,1756.0,609.7222
2,0,32,24,3,667,32,128,0.4073,nan,nan,0.0884,4.6095,nan,nan,1236.6613,429.3963
2,0,32,32,3,878,32,128,0.7762,nan,nan,0.181,4.2889,nan,nan,794.8652,275.9948
2,0,32,36,3,1000,32,128,1.0465,nan,nan,0.2055,5.0933,nan,nan,797.3836,276.8693
2,0,36,6,2,205,32,128,0.0614,nan,nan,0.0195,3.1579,nan,nan,1381.0527,479.5322
2,0,36,10,2,333,32,128,0.1034,nan,nan,0.0266,3.8846,nan,nan,1639.3846,569.2308
2,0,36,16,2,504,32,128,0.221,nan,nan,0.0369,5.9952,nan,nan,1791.9999,622.2222
2,0,36,24,3,760,32,128,0.5263,nan,nan,0.1549,3.398,nan,nan,803.8839,279.1264
2,0,36,32,3,1008,32,128,1.0445,nan,nan,0.2068,5.0495,nan,nan,798.4159,277.2277
2,0,36,36,3,1129,32,128,1.2887,nan,nan,0.2376,5.4245,nan,nan,778.6207,270.3544
4,0,6,6,3,31,32,128,0.0133,nan,nan,0.0092,1.4444,nan,nan,1102.2222,382.716
4,0,6,10,3,52,32,128,0.0154,nan,nan,0.0154,1.0,nan,nan,1109.3334,385.1852
4,0,6,16,3,82,32,128,0.0326,nan,nan,0.0184,1.7674,nan,nan,1457.7777,506.1728
4,0,6,24,4,124,32,128,0.0429,nan,nan,0.0253,1.6943,nan,nan,1925.0941,668.4355
4,0,6,32,4,165,32,128,0.084,nan,nan,0.0341,2.4627,nan,nan,1902.8813,660.7227
4,0,6,36,4,186,32,128,0.0881,nan,nan,0.0369,2.3889,nan,nan,1983.9999,688.8889
4,0,10,6,2,56,32,128,0.0166,nan,nan,0.0143,1.1596,nan,nan,1024.0,355.5556
4,0,10,10,3,87,32,128,0.0336,nan,nan,0.0182,1.8446,nan,nan,1564.3196,543.1665
4,0,10,16,3,137,32,128,0.0747,nan,nan,0.0276,2.702,nan,nan,1623.7037,563.786
4,0,10,24,3,206,32,128,0.1004,nan,nan,0.0369,2.7222,nan,nan,1831.111,635.8024
4,0,10,32,3,274,32,128,0.169,nan,nan,0.0451,3.75,nan,nan,1992.7273,691.9192
4,0,10,36,4,310,32,128,0.1915,nan,nan,0.0543,3.5283,nan,nan,2246.0377,779.8742
4,0,16,6,2,82,32,128,0.0328,nan,nan,0.0164,2.001,nan,nan,1312.0,455.5556
4,0,16,10,2,144,32,128,0.0757,nan,nan,0.0266,2.8478,nan,nan,1419.5524,492.9001
4,0,16,16,3,228,32,128,0.1116,nan,nan,0.0399,2.7949,nan,nan,1870.7693,649.5727
4,0,16,24,3,341,32,128,0.2304,nan,nan,0.1109,2.0769,nan,nan,1007.4553,349.8109
4,0,16,32,3,449,32,128,0.4338,nan,nan,0.1863,2.3291,nan,nan,789.8574,274.2561
4,0,16,36,3,497,32,128,0.4782,nan,nan,0.2048,2.3352,nan,nan,795.2,276.1111
