batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,4096,36,16,2,504,32,128,1.5227,0.6912,nan,0.5888,2.5861,1.1739,nan,56.0974,19.4783
1,4096,36,24,3,760,32,128,1.7541,0.9783,nan,0.8066,2.1748,1.2129,nan,77.1895,26.8019
1,4096,36,32,3,1008,32,128,2.8017,1.6387,nan,1.2451,2.2502,1.3161,nan,66.3183,23.0272
1,4096,36,36,3,1129,32,128,2.921,1.7213,nan,1.2979,2.2505,1.3262,nan,71.2584,24.7425
2,4096,6,6,3,31,32,128,0.5607,0.2324,nan,0.2437,2.3005,0.9538,nan,20.8403,7.2362
2,4096,6,10,3,52,32,128,0.5918,0.2476,nan,0.2629,2.2507,0.9416,nan,32.4031,11.2511
2,4096,6,16,3,82,32,128,0.8015,0.359,nan,0.3666,2.1864,0.9794,nan,36.648,12.725
2,4096,6,24,4,124,32,128,0.7629,0.3633,nan,0.3777,2.0196,0.9619,nan,64.5395,22.4095
2,4096,6,32,4,165,32,128,1.4131,0.4269,nan,0.4168,3.3907,1.0244,nan,77.8378,27.027
2,4096,6,36,4,186,32,128,1.4483,0.427,nan,0.4226,3.4274,1.0105,nan,86.5385,30.0481
2,4096,10,6,2,56,32,128,0.5806,0.2488,nan,0.2642,2.1977,0.9419,nan,27.7829,9.6469
2,4096,10,10,3,87,32,128,0.8141,0.3584,nan,0.3717,2.1901,0.9642,nan,38.3471,13.315
2,4096,10,16,3,137,32,128,1.2898,0.4166,nan,0.4086,3.1567,1.0197,nan,54.9373,19.0755
2,4096,10,24,3,206,32,128,1.465,0.5908,nan,0.5877,2.4928,1.0054,nan,57.4294,19.9408
2,4096,10,32,3,274,32,128,1.6022,0.769,nan,0.7524,2.1295,1.0221,nan,59.6666,20.7176
2,4096,10,36,4,310,32,128,1.6328,0.7854,nan,0.7837,2.0833,1.0021,nan,77.7658,27.002
2,4096,16,6,2,82,32,128,0.8026,0.3572,nan,0.3635,2.2079,0.9827,nan,29.5662,10.266
2,4096,16,10,2,144,32,128,1.2712,0.4157,nan,0.4086,3.1115,1.0176,nan,46.1973,16.0407
2,4096,16,16,3,228,32,128,1.5,0.598,nan,0.5888,2.5475,1.0157,nan,63.4435,22.029
2,4096,16,24,3,341,32,128,1.6377,0.8185,nan,0.8202,1.9967,0.9979,nan,68.1149,23.651
2,4096,16,32,3,449,32,128,2.4349,1.2902,nan,1.2237,1.9898,1.0543,nan,60.1172,20.874
2,4096,16,36,3,497,32,128,2.4613,1.3363,nan,1.2411,1.9832,1.0767,nan,65.6106,22.7814
2,4096,24,6,2,134,32,128,1.2541,0.4147,nan,0.4076,3.0772,1.0176,nan,43.0955,14.9637
2,4096,24,10,2,213,32,128,1.4706,0.5948,nan,0.5919,2.4846,1.005,nan,47.1696,16.3783
2,4096,24,16,3,339,32,128,1.6633,0.8755,nan,0.8376,1.9857,1.0452,nan,66.3081,23.0236
2,4096,24,24,3,500,32,128,2.4734,1.3209,nan,1.2493,1.9799,1.0574,nan,65.5746,22.769
2,4096,24,32,3,666,32,128,3.4032,1.8964,nan,1.7029,1.9984,1.1137,nan,64.077,22.2489
2,4096,24,36,3,753,32,128,3.5297,2.0682,nan,1.7766,1.9868,1.1641,nan,69.4422,24.1119
2,4096,32,6,2,177,32,128,1.4413,0.4289,nan,0.4168,3.4582,1.0292,nan,55.6658,19.3284
2,4096,32,10,2,277,32,128,1.6256,0.7648,nan,0.7495,2.169,1.0204,nan,48.4434,16.8206
2,4096,32,16,2,439,32,128,2.3817,1.1356,nan,1.0184,2.3388,1.1151,nan,56.5028,19.619
2,4096,32,24,3,667,32,128,3.4034,1.8797,nan,1.67,2.0379,1.1256,nan,65.4373,22.7213
2,4096,32,32,3,878,32,128,4.5377,2.5993,nan,2.1123,2.1482,1.2306,nan,68.1027,23.6468
2,4096,32,36,3,1000,32,128,5.4323,3.0652,nan,2.3549,2.3068,1.3017,nan,69.5751,24.158
2,4096,36,6,2,205,32,128,1.4459,0.5919,nan,0.5873,2.462,1.0078,nan,45.7541,15.8869
2,4096,36,10,2,333,32,128,1.6927,0.8086,nan,0.8493,1.993,0.9521,nan,51.3919,17.8444
2,4096,36,16,2,504,32,128,2.4431,1.3383,nan,1.2436,1.9645,1.0761,nan,53.1182,18.4438
2,4096,36,24,3,760,32,128,3.4958,2.0325,nan,1.7572,1.9895,1.1567,nan,70.8625,24.605
2,4096,36,32,3,1008,32,128,5.4727,3.1046,nan,2.4172,2.2641,1.2844,nan,68.3245,23.7238
2,4096,36,36,3,1129,32,128,5.7709,3.5434,nan,2.6834,2.1506,1.3205,nan,68.9334,23.9352
4,4096,6,6,3,31,32,128,1.0644,0.2556,nan,0.2701,3.9406,0.9465,nan,37.6069,13.058
4,4096,6,10,3,52,32,128,1.0755,0.3625,nan,0.3738,2.8776,0.9699,nan,45.589,15.8295
4,4096,6,16,3,82,32,128,1.5808,0.4045,nan,0.4168,3.7929,0.9705,nan,64.4717,22.386
4,4096,6,24,4,124,32,128,1.6486,0.5794,nan,0.5929,2.7806,0.9772,nan,82.2383,28.555
4,4096,6,32,4,165,32,128,2.2011,0.8033,nan,0.8059,2.7313,0.9968,nan,80.5083,27.9543
4,4096,6,36,4,186,32,128,2.2635,0.8018,nan,0.8586,2.6362,0.9338,nan,85.1807,29.5766
4,4096,10,6,2,56,32,128,1.1177,0.3604,nan,0.3707,3.0153,0.9724,nan,39.6022,13.7508
4,4096,10,10,3,87,32,128,1.6565,0.4035,nan,0.4219,3.9265,0.9563,nan,67.5728,23.4628
4,4096,10,16,3,137,32,128,2.0449,0.7557,nan,0.7618,2.6843,0.992,nan,58.9272,20.4608
4,4096,10,24,3,206,32,128,2.3172,1.0338,nan,1.0414,2.2251,0.9927,nan,64.8181,22.5063
4,4096,10,32,3,274,32,128,3.0659,1.3384,nan,1.2933,2.3706,1.0349,nan,69.4246,24.1058
4,4096,10,36,4,310,32,128,3.1318,1.5134,nan,1.5041,2.0822,1.0062,nan,81.0451,28.1406
4,4096,16,6,2,82,32,128,1.5852,0.4075,nan,0.4168,3.8034,0.9778,nan,51.5774,17.9088
4,4096,16,10,2,144,32,128,2.0684,0.7683,nan,0.7516,2.752,1.0222,nan,50.2234,17.4387
4,4096,16,16,3,228,32,128,2.3287,1.2129,nan,1.2209,1.9073,0.9934,nan,61.192,21.2472
4,4096,16,24,3,341,32,128,3.2113,1.6906,nan,1.6781,1.9136,1.0075,nan,66.5867,23.1204
4,4096,16,32,3,449,32,128,4.6541,2.3131,nan,2.2046,2.1111,1.0492,nan,66.7372,23.1726
4,4096,16,36,3,497,32,128,4.8957,2.5369,nan,2.4131,2.0288,1.0513,nan,67.4899,23.434
4,4096,24,6,2,134,32,128,2.089,0.7648,nan,0.7588,2.753,1.008,nan,46.2942,16.0744
4,4096,24,10,2,213,32,128,2.309,0.9902,nan,1.0301,2.2415,0.9612,nan,54.2028,18.8204
4,4096,24,16,3,339,32,128,3.2292,1.6808,nan,1.67,1.9336,1.0064,nan,66.5164,23.096
4,4096,24,24,3,500,32,128,4.9102,2.4826,nan,2.3633,2.0777,1.0505,nan,69.3278,24.0722
4,4096,24,32,3,666,32,128,6.6558,3.4632,nan,3.1528,2.1111,1.0985,nan,69.2204,24.0349
4,4096,24,36,3,753,32,128,6.9151,4.037,nan,3.5359,1.9557,1.1417,nan,69.7828,24.2301
4,4096,32,6,2,177,32,128,2.24,0.8612,nan,0.7939,2.8214,1.0847,nan,58.4435,20.2929
4,4096,32,10,2,277,32,128,3.0745,1.3251,nan,1.3025,2.3604,1.0173,nan,55.7484,19.3571
4,4096,32,16,2,439,32,128,4.5911,2.2884,nan,2.1563,2.1292,1.0613,nan,53.3705,18.5314
4,4096,32,24,3,667,32,128,6.6461,3.504,nan,3.158,2.1045,1.1096,nan,69.2088,24.0308
4,4096,32,32,3,878,32,128,8.9958,5.0451,nan,4.229,2.1272,1.193,nan,68.0306,23.6217
4,4096,32,36,3,1000,32,128,9.7869,5.9924,nan,4.8562,2.0153,1.234,nan,67.477,23.4295
4,4096,36,6,2,205,32,128,2.3204,1.0473,nan,1.0322,2.248,1.0146,nan,52.0635,18.0776
4,4096,36,10,2,333,32,128,3.2599,1.7234,nan,1.6916,1.9271,1.0188,nan,51.6029,17.9177
4,4096,36,16,2,504,32,128,4.8402,2.5511,nan,2.418,2.0018,1.0551,nan,54.6415,18.9728
4,4096,36,24,3,760,32,128,6.9088,4.0329,nan,3.6038,1.9171,1.1191,nan,69.1038,23.9944
4,4096,36,32,3,1008,32,128,10.221,6.014,nan,4.869,2.0992,1.2351,nan,67.8371,23.5545
4,4096,36,36,3,1129,32,128,11.3468,7.0451,nan,5.3755,2.1109,1.3106,nan,68.822,23.8965
8,4096,6,6,3,31,32,128,1.8446,0.3638,nan,0.3799,4.8554,0.9577,nan,53.4771,18.5684
8,4096,6,10,3,52,32,128,1.8621,0.5642,nan,0.5908,3.1518,0.955,nan,57.6808,20.028
8,4096,6,16,3,82,32,128,2.4934,0.77,nan,0.8064,3.0921,0.9549,nan,66.6413,23.1393
8,4096,6,24,4,124,32,128,2.5515,1.196,nan,1.2595,2.0258,0.9496,nan,77.4244,26.8835
8,4096,6,32,4,165,32,128,4.138,1.6781,nan,1.7233,2.4012,0.9738,nan,75.2969,26.1448
8,4096,6,36,4,186,32,128,4.3338,1.7357,nan,1.7915,2.4191,0.9688,nan,81.6508,28.351
8,4096,10,6,2,56,32,128,1.9055,0.5662,nan,0.5898,3.231,0.9601,nan,49.7832,17.2858
8,4096,10,10,3,87,32,128,2.731,0.8293,nan,0.7977,3.4236,1.0396,nan,71.4763,24.8181
8,4096,10,16,3,137,32,128,3.6909,1.28,nan,1.3056,2.827,0.9804,nan,68.7686,23.878
