batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,ragged_sibling_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,speedup_sibling_vs_base,bw_gb_s,bw_util_pct
8,0,16,14,2,192,32,128,0.2139,,,0.1556,0.1546,1.3742,,,1.0066,646.7369,224.5614
8,0,16,20,3,274,32,128,0.3646,,,0.2247,0.2253,1.6225,,,0.9974,799.1341,277.4771
8,0,16,28,3,384,32,128,0.5028,,,0.3251,0.3235,1.5465,,,1.0049,774.0853,268.7796
8,0,20,3,2,51,32,128,0.0256,,,0.0177,0.0182,1.4467,,,0.9736,1511.0018,524.6534
8,0,20,5,2,86,32,128,0.0517,,,0.0244,0.0243,2.1139,,,1.0046,1844.2723,640.3723
8,0,20,7,2,120,32,128,0.0655,,,0.0297,0.0297,2.2069,,,1.0,2118.6206,735.6322
8,0,20,10,2,171,32,128,0.1823,,,0.126,0.1171,1.4472,,,1.0753,711.8048,247.1545
8,0,20,14,2,240,32,128,0.2722,,,0.1966,0.1966,1.3844,,,1.0,640.0,222.2222
8,0,20,20,2,343,32,128,0.4659,,,0.2806,0.2796,1.6606,,,1.0034,640.9343,222.5466
8,0,20,28,3,480,32,128,0.7945,,,0.3942,0.3933,2.0152,,,1.0024,797.9221,277.0563
8,0,24,3,2,62,32,128,0.0287,,,0.0193,0.0195,1.4884,,,0.9893,1687.3887,585.8989
8,0,24,5,2,103,32,128,0.0625,,,0.0296,0.0297,2.1126,,,0.9957,1826.355,634.151
8,0,24,7,2,144,32,128,0.1382,,,0.0348,0.0348,3.9706,,,1.0,2168.4706,752.9412
8,0,24,10,2,206,32,128,0.2396,,,0.1687,0.1688,1.4203,,,0.9995,640.1942,222.2897
8,0,24,14,2,288,32,128,0.3773,,,0.2355,0.2355,1.6023,,,0.9997,641.2873,222.6692
8,0,24,20,2,411,32,128,0.685,,,0.336,0.3349,2.0383,,,1.0034,641.225,222.6476
8,0,24,28,2,576,32,128,1.1326,,,0.47,0.47,2.4097,,,1.0,642.5098,223.0937
8,0,28,3,2,72,32,128,0.0482,,,0.0287,0.0287,1.6825,,,1.0,1316.5714,457.1429
8,0,28,5,2,120,32,128,0.0654,,,0.0297,0.0297,2.202,,,1.0,2118.6206,735.6322
8,0,28,7,2,168,32,128,0.1792,,,0.0881,0.084,2.0349,,,1.0488,1000.186,347.2868
8,0,28,10,2,240,32,128,0.2713,,,0.1966,0.1974,1.38,,,0.996,640.0,222.2222
8,0,28,14,2,336,32,128,0.4567,,,0.2772,0.2765,1.6473,,,1.0028,635.3906,220.6217
8,0,28,20,2,480,32,128,0.7905,,,0.4004,0.3983,1.9745,,,1.0051,628.5673,218.2525
8,0,28,28,2,672,32,128,1.5677,,,0.5468,0.5458,2.867,,,1.0019,644.3146,223.7204
16,0,4,3,3,30,32,128,0.0348,,,0.0297,0.0297,1.1724,,,1.0,1324.1379,459.7701
16,0,4,5,3,30,32,128,0.0348,,,0.0297,0.0297,1.1724,,,1.0,1324.1379,459.7701
16,0,4,7,3,30,32,128,0.0348,,,0.0297,0.0297,1.1724,,,1.0,1324.1379,459.7701
16,0,4,10,3,34,32,128,0.0358,,,0.0306,0.0299,1.1703,,,1.023,1455.2142,505.2827
16,0,4,14,3,48,32,128,0.041,,,0.0327,0.0326,1.2518,,,1.0039,1922.8167,667.6447
16,0,4,20,3,69,32,128,0.0879,,,0.0573,0.0573,1.5329,,,1.0,1577.1428,547.619
16,0,4,28,4,96,32,128,0.167,,,0.1454,0.1464,1.1482,,,0.993,1038.4225,360.5634
16,0,8,3,2,30,32,128,0.0348,,,0.0256,0.0256,1.36,,,1.0,1228.8,426.6667
16,0,8,5,2,34,32,128,0.0358,,,0.0256,0.0452,1.3974,,,0.5668,1390.0337,482.6506
16,0,8,7,2,48,32,128,0.0409,,,0.0284,0.0279,1.4381,,,1.0183,1769.2508,614.3232
16,0,8,10,2,69,32,128,0.088,,,0.0387,0.0386,2.273,,,1.0025,1867.8166,648.5474
16,0,8,14,3,96,32,128,0.1672,,,0.1516,0.1526,1.1033,,,0.9933,830.2702,288.2883
16,0,8,20,3,137,32,128,0.2827,,,0.2251,0.2253,1.2557,,,0.9992,797.7141,276.9841
16,0,8,28,3,192,32,128,0.3859,,,0.3209,0.3226,1.2026,,,0.9949,784.197,272.2906
16,0,12,3,2,31,32,128,0.0348,,,0.0257,0.0264,1.3541,,,0.9757,1264.229,438.9684
16,0,12,5,2,51,32,128,0.042,,,0.0287,0.0287,1.4643,,,1.0,1865.1428,647.619
16,0,12,7,2,72,32,128,0.0881,,,0.0499,0.0492,1.7647,,,1.0153,1512.8541,525.2966
16,0,12,10,2,103,32,128,0.1905,,,0.1669,0.1679,1.1411,,,0.9939,647.0675,224.6762
16,0,12,14,2,144,32,128,0.2867,,,0.2345,0.2345,1.2227,,,1.0,643.9127,223.5808
16,0,12,20,3,206,32,128,0.4326,,,0.34,0.34,1.2726,,,1.0,794.2169,275.7697
16,0,12,28,3,288,32,128,0.7085,,,0.4743,0.4762,1.4939,,,0.996,795.9569,276.3739
16,0,16,3,2,41,32,128,0.0386,,,0.0276,0.0276,1.397,,,1.0,1554.963,539.9177
16,0,16,5,2,69,32,128,0.087,,,0.0481,0.0481,1.8085,,,1.0,1503.3191,521.9858
16,0,16,7,2,96,32,128,0.1679,,,0.1536,0.1544,1.0933,,,0.995,655.36,227.5555
16,0,16,10,2,137,32,128,0.2826,,,0.2232,0.2243,1.2661,,,0.9954,643.5229,223.4455
16,0,16,14,2,192,32,128,0.3848,,,0.3142,0.3133,1.2247,,,1.0029,640.6778,222.4576
16,0,16,20,3,274,32,128,0.6881,,,0.4495,0.4506,1.5306,,,0.9977,798.9066,277.3981
16,0,16,28,3,384,32,128,0.9523,,,0.6717,0.6697,1.4177,,,1.0031,749.2683,260.1626
16,0,20,3,2,51,32,128,0.042,,,0.0287,0.0287,1.4665,,,1.0,1865.1428,647.619
16,0,20,5,2,86,32,128,0.129,,,0.1116,0.1126,1.1558,,,0.9909,807.9266,280.5301
16,0,20,7,2,120,32,128,0.212,,,0.1965,0.1956,1.0787,,,1.0047,640.3648,222.3489
16,0,20,10,2,171,32,128,0.3615,,,0.2785,0.2826,1.2978,,,0.9855,643.7647,223.5294
16,0,20,14,2,240,32,128,0.4894,,,0.3948,0.4004,1.2396,,,0.986,637.458,221.3396
16,0,20,20,2,343,32,128,0.879,,,0.5581,0.5591,1.5751,,,0.9982,644.4624,223.7717
16,0,20,28,3,480,32,128,1.5319,,,0.7883,0.7854,1.9433,,,1.0037,798.1002,277.1181
16,0,24,3,2,62,32,128,0.0481,,,0.0294,0.0297,1.6366,,,0.9903,2210.6811,767.5976
16,0,24,5,2,103,32,128,0.1906,,,0.1684,0.1687,1.1319,,,0.9984,641.289,222.6698
16,0,24,7,2,144,32,128,0.2849,,,0.2344,0.2345,1.2156,,,0.9996,644.1764,223.6724
16,0,24,10,2,206,32,128,0.429,,,0.3359,0.3359,1.2772,,,1.0,643.122,223.3062
16,0,24,14,2,288,32,128,0.7051,,,0.469,0.4689,1.5035,,,1.0002,643.9127,223.5808
16,0,24,20,2,411,32,128,1.3302,,,0.6978,0.6687,1.9064,,,1.0435,617.6403,214.4585
16,0,24,28,2,576,32,128,2.1719,,,0.937,0.937,2.318,,,1.0,644.6164,223.8251
16,0,28,3,2,72,32,128,0.087,,,0.049,0.0486,1.7749,,,1.0089,1539.508,534.5514
16,0,28,5,2,120,32,128,0.212,,,0.1956,0.1957,1.0838,,,0.9994,643.3508,223.3857
16,0,28,7,2,168,32,128,0.3541,,,0.2734,0.2734,1.2952,,,1.0001,644.2769,223.7073
16,0,28,10,2,240,32,128,0.4905,,,0.3901,0.3994,1.2572,,,0.9769,645.0394,223.972
16,0,28,14,2,336,32,128,0.8618,,,0.5724,0.5622,1.5056,,,1.0182,615.4991,213.715
16,0,28,20,2,480,32,128,1.5375,,,0.8182,0.814,1.8792,,,1.0051,615.169,213.6003
16,0,28,28,2,672,32,128,3.0831,,,1.0903,1.0906,2.8278,,,0.9998,646.2813,224.4032
