label,context_length_mean,context_length_std,context_length_cv_pct,depth_mean,depth_std,depth_cv_pct,total_token_mean,total_token_std,total_token_cv_pct,top_k_mean,top_k_std,top_k_cv_pct,vanilla_tok_s_mean,vanilla_tok_s_std,vanilla_tok_s_cv_pct,vanilla_acc_mean,vanilla_acc_std,vanilla_acc_cv_pct,vanilla_verify_mean,vanilla_verify_std,vanilla_verify_cv_pct,ragged_tok_s_mean,ragged_tok_s_std,ragged_tok_s_cv_pct,ragged_acc_mean,ragged_acc_std,ragged_acc_cv_pct,ragged_verify_mean,ragged_verify_std,ragged_verify_cv_pct,e2e_speedup_mean,e2e_speedup_std,e2e_speedup_cv_pct,n_runs
b=6 d=6 tt=31,0,0,0.00,6,0,0.00,31,0,0.00,6,0,0.00,62.7333,0.057735,0.09,4.711,0,0.00,0.7186,0.0001,0.01,61.1,0,0.00,4.643,0,0.00,0.721867,0.000152753,0.02,0.973967,0.00092376,0.09,3
b=6 d=16 tt=82,0,0,0.00,16,0,0.00,82,0,0.00,6,0,0.00,48.4,0,0.00,5.212,0,0.00,0.55,0,0.00,48.4,0,0.00,5.215,0,0.00,0.549667,5.7735e-05,0.01,1,0,0.00,3
b=6 d=24 tt=123,0,0,0.00,24,0,0.00,123,0,0.00,6,0,0.00,40.4,0,0.00,5.385,1.08779e-15,0.00,0.470533,5.7735e-05,0.01,40.6333,0.057735,0.14,5.409,0,0.00,0.469433,5.7735e-05,0.01,1.0058,0.00138564,0.14,3
b=16 d=6 tt=82,0,0,0.00,6,0,0.00,82,0,0.00,16,0,0.00,64.1,0,0.00,5.204,0,0.00,0.727267,5.7735e-05,0.01,61.7,8.70234e-15,0.00,5.189,0,0.00,0.734167,5.7735e-05,0.01,0.9626,0,0.00,3
b=16 d=16 tt=219,0,0,0.00,16,0,0.00,219,0,0.00,16,0,0.00,45.0667,0.057735,0.13,5.971,0,0.00,0.5999,0.000264575,0.04,44.1667,0.057735,0.13,5.954,0,0.00,0.6023,0.0001,0.02,0.98,0,0.00,3
b=16 d=24 tt=329,0,0,0.00,24,0,0.00,329,0,0.00,16,0,0.00,32.2667,0.057735,0.18,6.025,1.08779e-15,0.00,0.587433,0.000251661,0.04,32.6667,0.057735,0.18,6.087,0,0.00,0.5828,0.000360555,0.06,1.0124,0,0.00,3
b=24 d=6 tt=123,0,0,0.00,6,0,0.00,123,0,0.00,24,0,0.00,62.6,0,0.00,5.355,0,0.00,0.730567,5.7735e-05,0.01,60.7333,0.057735,0.10,5.361,0,0.00,0.7366,0.0001,0.01,0.970133,0.00092376,0.10,3
b=24 d=16 tt=329,0,0,0.00,16,0,0.00,329,0,0.00,24,0,0.00,37.7667,0.057735,0.15,6.196,1.08779e-15,0.00,0.660333,0.000251661,0.04,38.1,0,0.00,6.192,0,0.00,0.6536,0.0002,0.03,1.0088,0.00155885,0.15,3
b=24 d=24 tt=494,0,0,0.00,24,0,0.00,494,0,0.00,24,0,0.00,nan,0,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,0,nan,3
