target_N,actual_N,b,d,vanilla_tok_s,ragged_tok_s,speedup,v_acc_per_step,r_acc_per_step,v_verify_ms,r_verify_ms,verify_fraction
62,62,12,6,63.90122184690351,60.509274462830504,0.9469188962896588,5.070597320009566,5.001107345685482,56.46484745494276,61.439209396922855,0.7140634678850157
123,123,16,9,59.79519605937511,57.437239816929505,0.9605661257452152,5.599482204511759,5.601368996964589,62.467351036832426,66.20885190228428,0.6675142916916534
247,247,16,18,41.790134335438445,39.55974642928042,0.946628840954296,5.9584523576138135,5.988829123704866,83.22693979588645,98.51282877471593,0.5844255157729887
576,576,24,28,nan,nan,nan,nan,nan,nan,nan,nan
1024,878,32,32,nan,nan,nan,nan,nan,nan,nan,nan
