context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
4096,12,123,12,b=12 d=12 tt=123,16.6,1.437,0.5638,15.9,1.437,0.5836,0.9578
4096,16,165,12,b=12 d=16 tt=165,13.5,1.442,0.5603,14.4,1.442,0.5313,1.0667
4096,20,206,12,b=12 d=20 tt=206,11.6,1.444,0.5478,13.0,1.444,0.4905,1.1207
4096,24,247,12,b=12 d=24 tt=247,10.4,1.444,0.5244,12.0,1.444,0.4514,1.1538
4096,12,165,16,b=16 d=12 tt=165,14.9,1.472,0.6077,15.8,1.47,0.583,1.0604
4096,16,219,16,b=16 d=16 tt=219,12.4,1.464,0.5944,14.4,1.472,0.535,1.1613
4096,20,274,16,b=16 d=20 tt=274,10.6,1.481,0.5897,13.0,1.474,0.4916,1.2264
4096,24,329,16,b=16 d=24 tt=329,9.4,1.478,0.5766,12.0,1.478,0.4561,1.2766
4096,12,206,20,b=20 d=12 tt=206,14.0,1.491,0.6382,16.0,1.493,0.5855,1.1429
4096,16,274,20,b=20 d=16 tt=274,11.4,1.492,0.6314,14.4,1.493,0.5335,1.2632
4096,20,343,20,b=20 d=20 tt=343,9.9,1.49,0.6152,13.1,1.497,0.4913,1.3232
4096,24,411,20,b=20 d=24 tt=411,8.3,1.505,0.6268,11.0,1.505,0.4997,1.3253
4096,12,247,24,b=24 d=12 tt=247,13.4,1.505,0.6498,16.0,1.505,0.5805,1.194
4096,16,329,24,b=24 d=16 tt=329,10.8,1.506,0.6491,14.3,1.507,0.5315,1.3241
4096,20,411,24,b=24 d=20 tt=411,8.7,1.511,0.657,11.9,1.51,0.5335,1.3678
4096,24,494,24,b=24 d=24 tt=494,7.7,1.51,0.6497,10.8,1.516,0.5039,1.4026
