context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
2048,20,343,20,b=20 d=20 tt=343,29.3,3.943,0.5447,32.4,3.943,0.4892,1.1058
4096,20,343,20,b=20 d=20 tt=343,9.4,1.49,0.6139,12.3,1.497,0.4954,1.3085
6144,20,343,20,b=20 d=20 tt=343,6.7,1.293,0.6455,9.7,1.291,0.4954,1.4478
8192,20,343,20,b=20 d=20 tt=343,5.5,1.278,0.6709,8.6,1.28,0.4928,1.5636
10240,20,343,20,b=20 d=20 tt=343,4.5,1.197,0.6837,7.3,1.196,0.4934,1.6222
