context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
0,32,55,2,b=2 d=32 tt=55,66.1,4.271,0.3169,55.6,4.26,0.4333,0.8411
0,32,110,4,b=4 d=32 tt=110,78.1,5.044,0.319,66.3,5.082,0.4306,0.8489
0,32,219,8,b=8 d=32 tt=219,88.0,5.723,0.3138,72.7,5.688,0.4267,0.8261
0,32,274,10,b=10 d=32 tt=274,79.6,5.895,0.319,70.5,5.896,0.4266,0.8857
1024,32,55,2,b=2 d=32 tt=55,55.0,3.633,0.3123,44.9,3.612,0.4262,0.8164
1024,32,110,4,b=4 d=32 tt=110,65.2,4.342,0.3081,51.7,4.338,0.4234,0.7929
1024,32,219,8,b=8 d=32 tt=219,65.1,4.867,0.3183,62.9,4.861,0.4175,0.9662
1024,32,274,10,b=10 d=32 tt=274,71.5,5.112,0.3605,65.2,5.005,0.4155,0.9119
2048,32,55,2,b=2 d=32 tt=55,41.9,2.826,0.3028,35.8,2.823,0.4154,0.8544
2048,32,110,4,b=4 d=32 tt=110,48.9,3.37,0.3213,41.5,3.366,0.4132,0.8487
2048,32,219,8,b=8 d=32 tt=219,48.9,3.808,0.3609,40.6,3.805,0.4131,0.8303
2048,32,274,10,b=10 d=32 tt=274,45.3,3.925,0.3824,45.0,3.918,0.4115,0.9934
4096,32,55,2,b=2 d=32 tt=55,18.3,1.254,0.3179,15.4,1.255,0.4343,0.8415
4096,32,110,4,b=4 d=32 tt=110,18.1,1.344,0.3591,16.0,1.344,0.4318,0.884
4096,32,219,8,b=8 d=32 tt=219,17.1,1.44,0.4287,17.0,1.445,0.4347,0.9942
4096,32,274,10,b=10 d=32 tt=274,15.9,1.476,0.4705,16.8,1.478,0.4394,1.0566
