depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
16,137,10,b=10 d=16 tt=137,39.9,5.793,0.5552,38.0,5.72,0.6363,0.9524
20,171,10,b=10 d=20 tt=171,40.9,5.836,0.534,34.2,5.836,0.5747,0.8362
24,206,10,b=10 d=24 tt=206,33.0,5.951,0.5044,30.9,5.951,0.5581,0.9364
28,240,10,b=10 d=28 tt=240,29.4,5.951,0.4717,28.4,5.951,0.5203,0.966
32,274,10,b=10 d=32 tt=274,22.1,5.951,0.5259,24.4,5.951,0.6087,1.1041
