context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
2048,20,343,20,b=20 d=20 tt=343,30.3,3.943,0.5469,34.4,3.943,0.4858,1.1353
4096,20,343,20,b=20 d=20 tt=343,9.8,1.49,0.613,13.0,1.497,0.4886,1.3265
6144,20,343,20,b=20 d=20 tt=343,7.1,1.293,0.6463,10.3,1.291,0.4901,1.4507
8192,20,343,20,b=20 d=20 tt=343,5.8,1.278,0.6716,9.1,1.28,0.4867,1.569
10240,20,343,20,b=20 d=20 tt=343,4.8,1.197,0.6813,7.8,1.196,0.4879,1.625
