context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
0,6,31,6,b=6 d=6 tt=31,62.7,4.711,0.7186,61.1,4.643,0.722,0.9745
0,16,82,6,b=6 d=16 tt=82,48.4,5.212,0.55,48.4,5.215,0.5497,1.0
0,24,123,6,b=6 d=24 tt=123,40.4,5.385,0.4706,40.6,5.409,0.4695,1.005
0,6,82,16,b=16 d=6 tt=82,64.1,5.204,0.7273,61.7,5.189,0.7342,0.9626
0,16,219,16,b=16 d=16 tt=219,45.0,5.971,0.5996,44.1,5.954,0.6024,0.98
0,24,329,16,b=16 d=24 tt=329,32.2,6.025,0.5877,32.6,6.087,0.5832,1.0124
0,6,123,24,b=24 d=6 tt=123,62.6,5.355,0.7306,60.7,5.361,0.7367,0.9696
0,16,329,24,b=24 d=16 tt=329,37.8,6.196,0.6601,38.1,6.192,0.6536,1.0079
0,24,494,24,b=24 d=24 tt=494,,,,,,,
